state,date,division,index
Melaka,1/10/2010,overall,100.4
Melaka,1/11/2010,overall,100.6
Melaka,1/12/2010,overall,101.1
Melaka,1/1/2011,overall,101.8
Melaka,1/2/2011,overall,102.3
Melaka,1/3/2011,overall,102.2
Melaka,1/4/2011,overall,102.4
Melaka,1/5/2011,overall,102.5
Melaka,1/6/2011,overall,102.8
Melaka,1/7/2011,overall,103
Melaka,1/8/2011,overall,103
Melaka,1/9/2011,overall,103.4
Melaka,1/10/2011,overall,103.6
Melaka,1/11/2011,overall,103.9
Melaka,1/12/2011,overall,104.1
Melaka,1/1/2012,overall,104.4
Melaka,1/2/2012,overall,104.2
Melaka,1/3/2012,overall,104.2
Melaka,1/4/2012,overall,104.2
Melaka,1/5/2012,overall,104.6
Melaka,1/6/2012,overall,104.7
Melaka,1/7/2012,overall,104.8
Melaka,1/8/2012,overall,105
Melaka,1/9/2012,overall,105.2
Melaka,1/10/2012,overall,105.3
Melaka,1/11/2012,overall,105.2
Melaka,1/12/2012,overall,105.3
Melaka,1/1/2013,overall,105.8
Melaka,1/2/2013,overall,105.8
Melaka,1/3/2013,overall,105.8
Melaka,1/4/2013,overall,105.9
Melaka,1/5/2013,overall,106.2
Melaka,1/6/2013,overall,106.3
Melaka,1/7/2013,overall,106.5
Melaka,1/8/2013,overall,106.6
Melaka,1/9/2013,overall,107.8
Melaka,1/10/2013,overall,107.9
Melaka,1/11/2013,overall,108.3
Melaka,1/12/2013,overall,108.6
Melaka,1/1/2014,overall,109.2
Melaka,1/2/2014,overall,109.5
Melaka,1/3/2014,overall,109.7
Melaka,1/4/2014,overall,109.6
Melaka,1/5/2014,overall,109.8
Melaka,1/6/2014,overall,109.9
Melaka,1/7/2014,overall,110
Melaka,1/8/2014,overall,110.3
Melaka,1/9/2014,overall,110.4
Melaka,1/10/2014,overall,111
Melaka,1/11/2014,overall,111.6
Melaka,1/12/2014,overall,111.5
Melaka,1/1/2015,overall,110.4
Melaka,1/2/2015,overall,109.8
Melaka,1/3/2015,overall,110.8
Melaka,1/4/2015,overall,111.4
Melaka,1/5/2015,overall,111.7
Melaka,1/6/2015,overall,112.6
Melaka,1/7/2015,overall,113.5
Melaka,1/8/2015,overall,113.2
Melaka,1/9/2015,overall,113.3
Melaka,1/10/2015,overall,113.6
Melaka,1/11/2015,overall,114.3
Melaka,1/12/2015,overall,114.2
Melaka,1/1/2016,overall,114.1
Melaka,1/2/2016,overall,114.1
Melaka,1/3/2016,overall,113.4
Melaka,1/4/2016,overall,113.9
Melaka,1/5/2016,overall,114.1
Melaka,1/6/2016,overall,114.3
Melaka,1/7/2016,overall,114.7
Melaka,1/8/2016,overall,115
Melaka,1/9/2016,overall,114.6
Melaka,1/10/2016,overall,115
Melaka,1/11/2016,overall,116.2
Melaka,1/12/2016,overall,116.4
Melaka,1/1/2017,overall,117.8
Melaka,1/2/2017,overall,119.4
Melaka,1/3/2017,overall,119.2
Melaka,1/4/2017,overall,119.1
Melaka,1/5/2017,overall,118.9
Melaka,1/6/2017,overall,118.7
Melaka,1/7/2017,overall,118.6
Melaka,1/8/2017,overall,119.6
Melaka,1/9/2017,overall,120.1
Melaka,1/10/2017,overall,119.8
Melaka,1/11/2017,overall,120.7
